Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR4305577,2016-12-09 15:56:32,2016-09-29 16:29:43,4000000,200000000,0,50,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305577/SRR4305577.sralite.1,SRX2199841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719628,SAMN05852473,simple,9606,Homo sapiens,GSM2332515,,,,,,,no,,,,,GEO,SRA481033,,public,19E4F81D47002D8AEC93BB0B645A436E,439A8474882912B506D7CEB99B04CC10
SRR4305578,2016-12-09 15:56:32,2016-09-29 16:29:56,4000000,200000000,0,50,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305578/SRR4305578.sralite.1,SRX2199841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719628,SAMN05852473,simple,9606,Homo sapiens,GSM2332515,,,,,,,no,,,,,GEO,SRA481033,,public,46D4ADF0EB96FF50F14D447AF1770F76,879753D66B6F7A81B64C6033C217FA9B
SRR4305579,2016-12-09 15:56:32,2016-09-29 16:29:52,4000000,200000000,0,50,77,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR004/305/SRR4305579.sralite.1,SRX2199841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719628,SAMN05852473,simple,9606,Homo sapiens,GSM2332515,,,,,,,no,,,,,GEO,SRA481033,,public,AD75ED76A7B1BE782A73A83556FCE25A,31E1C3D15FBB1BBCDA2F0E24F138396B
SRR4305580,2016-12-09 15:56:32,2016-09-29 16:29:45,3427667,171383350,0,50,63,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR004/305/SRR4305580.sralite.1,SRX2199841,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719628,SAMN05852473,simple,9606,Homo sapiens,GSM2332515,,,,,,,no,,,,,GEO,SRA481033,,public,B3A30040AF0F635A42CCA089B215D7B3,B8F659E80F7934C6586775B3E27C03E6
SRR4305581,2016-12-09 15:56:32,2016-09-29 16:29:52,4000000,200000000,0,50,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305581/SRR4305581.sralite.1,SRX2199842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719629,SAMN05852472,simple,9606,Homo sapiens,GSM2332516,,,,,,,no,,,,,GEO,SRA481033,,public,B31F4903C99C8893F71C77AEB685065D,601C352E3239239DF4739A366C7D0857
SRR4305582,2016-12-09 15:56:32,2016-09-29 16:30:13,4000000,200000000,0,50,74,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305582/SRR4305582.sralite.1,SRX2199842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719629,SAMN05852472,simple,9606,Homo sapiens,GSM2332516,,,,,,,no,,,,,GEO,SRA481033,,public,B647D39A3DD00E7B4108130890AF249E,56DB862E122E817728394D82946A14FC
SRR4305583,2016-12-09 15:56:32,2016-09-29 16:30:08,4000000,200000000,0,50,75,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305583/SRR4305583.sralite.1,SRX2199842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719629,SAMN05852472,simple,9606,Homo sapiens,GSM2332516,,,,,,,no,,,,,GEO,SRA481033,,public,85CC843BD1D4ED103BE721AD56B23E90,1951FF9AA31DF63435631D2ABD7C11A7
SRR4305584,2016-12-09 15:56:32,2016-09-29 16:29:35,1518514,75925700,0,50,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR004/305/SRR4305584.sralite.1,SRX2199842,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719629,SAMN05852472,simple,9606,Homo sapiens,GSM2332516,,,,,,,no,,,,,GEO,SRA481033,,public,450BA3A06144B658631957E6E4BB7E7D,BA35FA7AAF1ED08AE6733CD3C48091E0
SRR4305585,2016-12-09 15:56:32,2016-09-29 16:30:02,4000000,200000000,0,50,72,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305585/SRR4305585.sralite.1,SRX2199843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719631,SAMN05852471,simple,9606,Homo sapiens,GSM2332517,,,,,,,no,,,,,GEO,SRA481033,,public,404FD6379CE4BD96644112516D42E1F7,F47E1F13A3150732FB378BDDA18A2A2A
SRR4305586,2016-12-09 15:56:32,2016-09-29 16:30:14,4000000,200000000,0,50,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305586/SRR4305586.sralite.1,SRX2199843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719631,SAMN05852471,simple,9606,Homo sapiens,GSM2332517,,,,,,,no,,,,,GEO,SRA481033,,public,68D5CDFFAEFB8CC0FA80C82555B12681,62840FECB13D0F05079500C9A4015FFA
SRR4305587,2016-12-09 15:56:32,2016-09-29 16:30:15,4000000,200000000,0,50,76,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR004/305/SRR4305587.sralite.1,SRX2199843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719631,SAMN05852471,simple,9606,Homo sapiens,GSM2332517,,,,,,,no,,,,,GEO,SRA481033,,public,D4378EF8455D0A99355DCBE85D583E12,A6894881FC8C14516B6702A0B09F1C42
SRR4305588,2016-12-09 15:56:32,2016-09-29 16:29:43,2691071,134553550,0,50,49,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1211/SRR004/305/SRR4305588/SRR4305588.sralite.1,SRX2199843,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719631,SAMN05852471,simple,9606,Homo sapiens,GSM2332517,,,,,,,no,,,,,GEO,SRA481033,,public,06112E9400879D45C3A6776531DA0279,220A78AA9315DF4B655E140CDA11CD80
SRR4305589,2016-12-09 15:56:32,2016-09-29 16:30:28,4000000,200000000,0,50,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos12/sra-pub-zq-1214/SRR004/305/SRR4305589.sralite.1,SRX2199844,,RNA-Seq,cDNA,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2000,SRP090633,PRJNA344898,2,344898,SRS1719630,SAMN05852468,simple,9606,Homo sapiens,GSM2332518,,,,,,,no,,,,,GEO,SRA481033,,public,E42D35C4D7A4DF29E86448BD72368410,81289E20BE316120B789A1806C4B03E9
